title,summary,link,published_date,source
European leaders pressure Russia over 30-day Ukraine ceasefire,"France, Britain, Germany and Poland met President Vlodomyr Zelensky to discuss an unconditional ceasefire.",https://www.bbc.com/news/articles/c87j03x9px2o,2025-05-10 14:08:38,BBC World
Trump administration considers suspending habeas corpus,"The White House is ""actively looking at"" suspending the legal right to challenge detention.",https://www.bbc.com/news/articles/c0qgz18glljo,2025-05-10 10:11:59,BBC World
"Maga says Pope Leo may be American, but he's not 'America first'",Pope Leo XIV has expressed support for immigrants and criticism of JD Vance. Donald Trump's supporters aren't happy.,https://www.bbc.com/news/articles/clyglw20lg2o,2025-05-10 00:38:27,BBC World
Taylor Swift criticises Lively-Baldoni court summons,"The singer's representatives say the court summons was designed to create ""tabloid clickbait"".",https://www.bbc.com/news/articles/c1kv7v3z70jo,2025-05-10 11:47:50,BBC World
How will Pope Leo lead? His first days may yield clues,Scrutiny about the way the latest pope might run the Catholic Church started the moment he stepped on to the balcony.,https://www.bbc.com/news/articles/c2e3d888p44o,2025-05-10 03:04:49,BBC World
Elton John and Dua Lipa seek protection from AI,"They are among 400 artists appealing to Sir Keir Starmer, saying creative industries are threatened.",https://www.bbc.com/news/articles/c071elp1rv1o,2025-05-10 00:27:24,BBC World
Mexico sues Google over 'Gulf of America' name change,President Sheinbaum argues Trump's executive order applies only to the US portion of the continental shelf.,https://www.bbc.com/news/articles/c5yk5nj7p7ko,2025-05-09 18:10:02,BBC World
Turkish Tufts University student released from immigration facility,Her arrest followed the White House's crackdown on what it has classified as antisemitism on US campuses.,https://www.bbc.com/news/articles/cp3nd0dwlpgo,2025-05-10 00:04:32,BBC World
US confirms plan for private firms to deliver Gaza aid despite UN alarm,"UN agencies say they will not co-operate with the proposed system because it appears to ""weaponise"" aid.",https://www.bbc.com/news/articles/cp92rlm300mo,2025-05-09 15:20:18,BBC World
Xi shows he wants to be close to Putin - but not too close,The relationship between China and Russia is no longer one of equals.,https://www.bbc.com/news/articles/c753ng233nvo,2025-05-09 14:07:06,BBC World
"No water, no power - Port Sudan reeling after week of attacks","The city, which has escaped the worst of the civil war, has been targeted in a series of bombardments.",https://www.bbc.com/news/articles/c6293qgd46zo,2025-05-10 04:14:11,BBC World
Moon dust 'rarer than gold' arrives in UK from China,First Moon samples collected in nearly 50 years and loaned by China for the first time are now in the UK.,https://www.bbc.com/news/articles/c4g3krykxypo,2025-05-08 23:25:38,BBC World
'I freaked out and spent $400 online': US consumers on cheap shipping changes,How consumers are reacting to shipping changes that mean low-value packages entering the US no longer avoid tariffs.,https://www.bbc.com/news/articles/c4g2j45d5zeo,2025-05-10 04:01:38,BBC World
"Witchcraft, innuendo and moody goth boys: Your guide to all 37 Eurovision songs","With just a week to go, here's our guide to the songs and artists taking part in Eurovision 2025.",https://www.bbc.com/news/articles/c9vg8k4zxk9o,2025-05-10 03:15:58,BBC World
The US and China are finally talking. Why now?,Economic pressures are forcing Donald Trump and Xi Jinping to seek an off-ramp in the trade war.,https://www.bbc.com/news/articles/c74qjjvzlgjo,2025-05-09 22:57:32,BBC World
